SNR_dB,CAR_classical,CAR_DL_SemCom,CAR_LPG,TUP_classical,TUP_DL_SemCom,TUP_LPG,SEP_classical,SEP_DL_SemCom,SEP_LPG,NSC_LPG
-8.0,9.695554523286273e-05,0.00035121489077022546,0.005473431728073874,0.0800814426579956,0.1402879962104316,0.2242145424306169,0.9999030444547672,0.9996487851092297,0.9945265682719261,21.416155999499466
-7.8,0.0001084447781713607,0.0003943958354625744,0.006191537704581278,0.08009109361366394,0.14032340458507933,0.22476748403252758,0.9998915552218286,0.9996056041645375,0.9938084622954187,22.37796981762958
-7.6,0.00012129532015477493,0.0004428834113531544,0.007003194667514241,0.08010188806893001,0.1403631643973096,0.22539245989398596,0.9998787046798452,0.9995571165886469,0.9929968053324858,23.38332744055682
-7.4,0.00013566842528804765,0.0004973291518588307,0.007920404836914922,0.08011396147724197,0.14040780990452426,0.2260987117244245,0.999864331574712,0.9995026708481412,0.9920795951630851,24.434560130019932
-7.2,0.0001517444386522908,0.0005584644236769805,0.008956658726302889,0.08012746532846793,0.14045794082741514,0.22689662721925322,0.9998482555613477,0.999441535576323,0.9910433412736971,25.534206503128797
-7.0,0.00016972505388501263,0.0006271101670658648,0.010127105326248121,0.08014256904526341,0.14051423033699403,0.22779787110121105,0.999830274946115,0.9993728898329342,0.9898728946737518,26.685041990138124
-6.8,0.00018983583707181663,0.0007041878136001378,0.01144873769689748,0.08015946210314033,0.1405774340071521,0.22881552802661106,0.9998101641629282,0.9992958121863998,0.9885512623031025,27.890112832523275
-6.6,0.00021232904819974376,0.0007907315208873864,0.01294059416664115,0.08017835640048779,0.14064839984712768,0.22996425750831367,0.9997876709518002,0.9992092684791126,0.9870594058333588,29.152775209311265
-6.4,0.00023748679504803207,0.0008879018795038871,0.014623974907304852,0.08019948890784034,0.1407280795411932,0.23126046067862474,0.999762513204952,0.9991120981204961,0.9853760250926952,30.476740115001025
-6.2,0.0002656245584277981,0.0009970012647628607,0.01652267307265146,0.08022312462907935,0.14081754103710556,0.23272245826594162,0.9997343754415722,0.9990029987352371,0.9834773269273486,31.866124634749156
-6.0,0.0002970951321717954,0.001119491024969542,0.018663218908576147,0.08024955991102431,0.14091798264047503,0.23437067855960364,0.9997029048678282,0.9988805089750304,0.9813367810914239,33.32551026473512
-5.8,0.00033229302626664966,0.0012570107186370173,0.021075134226547585,0.08027912614206399,0.14103074878928237,0.23622785335444163,0.9996677069737333,0.998742989281363,0.9789248657734524,34.86000889854271
-5.6,0.00037165938706465966,0.0014113996358101875,0.023791193327880742,0.08031219388513432,0.14115734770136437,0.23831921886246818,0.9996283406129354,0.9985886003641898,0.9762088066721193,36.47533703221173
-5.4,0.00041568749466648397,0.00158472086322066,0.02684768482302905,0.08034917749551984,0.14129947110784097,0.24067271731373238,0.9995843125053335,0.9984152791367793,0.973152315176971,38.17789861658868
-5.199999999999999,0.0004649289043901882,0.0017792881794822296,0.030284666754154532,0.08039054027968776,0.14145901630717544,0.243319193400699,0.9995350710956098,0.9982207118205177,0.9697153332458455,39.97487678769001
-5.0,0.0005200003068008144,0.001997696094889561,0.03414620495152196,0.08043680025771269,0.14163811079780944,0.24629257781267191,0.9994799996931992,0.9980023039051105,0.965853795048478,41.87433441249792
