time_step,ARS_anchor_richness,AER_anchor_enrichment_rate,semantic_drift_velocity,Cs_semantic_capacity,static_capacity_baseline
0,0.3412674081334908,-0.006298072435281354,0.006298072435281354,0.782360792703365,0.782360792703365
1,0.33496933569820947,0.004909219168237555,0.004909219168237555,0.7621163977049618,0.782360792703365
2,0.35108584646996593,0.010778377742594991,0.010778377742594991,0.8148161881306349,0.782360792703365
3,0.35652609118339945,-0.005052769836840276,0.005052769836840276,0.8332755094963912,0.782360792703365
4,0.3409803067962854,-0.002830629738551721,0.002830629738551721,0.7814282423829101,0.782360792703365
5,0.350864831706296,0.012972321934487968,0.012972321934487968,0.8140734853341612,0.782360792703365
6,0.3669249506652613,0.0098829107106356,0.0098829107106356,0.8695204735893137,0.782360792703365
7,0.3706306531275672,0.006715248458621453,0.006715248458621453,0.8827451074264774,0.782360792703365
8,0.3803554475825042,0.006176862512177278,0.006176862512177278,0.9182321951185818,0.782360792703365
9,0.38298437815192177,0.012058576119713477,0.012058576119713477,0.928021789209101,0.782360792703365
10,0.4044725998219312,0.015510868064679967,0.015510868064679967,1.0112315484547791,0.782360792703365
11,0.4140061142812817,0.00783046455230016,0.00783046455230016,1.0500035154989968,0.782360792703365
12,0.4201335289265315,0.012742264567630002,0.012742264567630002,1.075536682446975,0.782360792703365
13,0.4394906434165417,0.013705244174740783,0.013705244174740783,1.1594067886044246,0.782360792703365
14,0.44754401727601306,0.006036629749247874,0.006036629749247874,1.1957586058284109,0.782360792703365
15,0.45156390291503745,0.01321156507950097,0.01321156507950097,1.2142289936180344,0.782360792703365
16,0.473967147435015,0.013626539419202693,0.013626539419202693,1.3211913291505961,0.782360792703365
17,0.47881698175344284,0.01600299139349365,0.01600299139349365,1.3452566725593436,0.782360792703365
18,0.5059731302220023,0.01745173570971789,0.01745173570971789,1.4861202778838913,0.782360792703365
19,0.5137204531728786,0.010395018191815097,0.010395018191815097,1.5282359943574348,0.782360792703365
20,0.5267631666056325,0.011542471180411962,0.011542471180411962,1.6011045068086174,0.782360792703365
21,0.5368053955337025,0.0180971126788399,0.0180971126788399,1.6589072254795028,0.782360792703365
22,0.5629573919633123,0.01421959437418685,0.01421959437418685,1.8164725437693734,0.782360792703365
